location_country,location_level,location_name,location_code,location_code_type,reference_date,measure,case_classification,time_period,value,unit,source,source_url,source_indicator_name,indicator_label,reporting_period_start,reporting_period_end,last_updated,data_quality_flag,notes
COD,3,Bunia,CD5402ZS02,pcode,2026-05-19,cases,confirmed,cumulative,6,count,,,,,,,,,
COD,3,Bunia,CD5402ZS02,pcode,2026-05-19,cases,recovered,cumulative,0,count,,,,,,,,,
COD,3,Bunia,CD5402ZS02,pcode,2026-05-19,cases,suspected,cumulative,90,count,,,,,,,,,
COD,3,Bunia,CD5402ZS02,pcode,2026-05-19,contacts,contacts,cumulative,203,count,,,,,,,,,
COD,3,Bunia,CD5402ZS02,pcode,2026-05-19,deaths,confirmed,cumulative,0,count,,,,,,,,,
COD,3,Bunia,CD5402ZS02,pcode,2026-05-19,deaths,suspected,cumulative,23,count,,,,,,,,,
COD,3,Butembo,CD6110ZS01,pcode,2026-05-19,cases,confirmed,cumulative,1,count,,,,,,,,,
COD,3,Butembo,CD6110ZS01,pcode,2026-05-19,cases,recovered,cumulative,0,count,,,,,,,,,
COD,3,Butembo,CD6110ZS01,pcode,2026-05-19,cases,suspected,cumulative,1,count,,,,,,,,,
COD,3,Butembo,CD6110ZS01,pcode,2026-05-19,deaths,confirmed,cumulative,0,count,,,,,,,,,
COD,3,Butembo,CD6110ZS01,pcode,2026-05-19,deaths,suspected,cumulative,0,count,,,,,,,,,
COD,3,Goma,CD6101ZS01,pcode,2026-05-19,cases,confirmed,cumulative,1,count,,,,,,,,,
COD,3,Goma,CD6101ZS01,pcode,2026-05-19,cases,recovered,cumulative,0,count,,,,,,,,,
COD,3,Goma,CD6101ZS01,pcode,2026-05-19,cases,suspected,cumulative,1,count,,,,,,,,,
COD,3,Goma,CD6101ZS01,pcode,2026-05-19,deaths,confirmed,cumulative,0,count,,,,,,,,,
COD,3,Goma,CD6101ZS01,pcode,2026-05-19,deaths,suspected,cumulative,0,count,,,,,,,,,
COD,3,Katwa,CD6110ZS02,pcode,2026-05-19,cases,confirmed,cumulative,1,count,,,,,,,,,
COD,3,Katwa,CD6110ZS02,pcode,2026-05-19,cases,recovered,cumulative,0,count,,,,,,,,,
COD,3,Katwa,CD6110ZS02,pcode,2026-05-19,cases,suspected,cumulative,1,count,,,,,,,,,
COD,3,Katwa,CD6110ZS02,pcode,2026-05-19,deaths,confirmed,cumulative,0,count,,,,,,,,,
COD,3,Katwa,CD6110ZS02,pcode,2026-05-19,deaths,suspected,cumulative,0,count,,,,,,,,,
COD,3,Mongbalu,CD5405ZS10,pcode,2026-05-19,cases,confirmed,cumulative,13,count,,,,,,,,,
COD,3,Mongbalu,CD5405ZS10,pcode,2026-05-19,cases,recovered,cumulative,0,count,,,,,,,,,
COD,3,Mongbalu,CD5405ZS10,pcode,2026-05-19,cases,suspected,cumulative,309,count,,,,,,,,,
COD,3,Mongbalu,CD5405ZS10,pcode,2026-05-19,contacts,contacts,cumulative,176,count,,,,,,,,,
COD,3,Mongbalu,CD5405ZS10,pcode,2026-05-19,deaths,confirmed,cumulative,0,count,,,,,,,,,
COD,3,Mongbalu,CD5405ZS10,pcode,2026-05-19,deaths,suspected,cumulative,77,count,,,,,,,,,
COD,3,Nyakunde,CD5402ZS05,pcode,2026-05-19,cases,confirmed,cumulative,4,count,,,,,,,,,
COD,3,Nyakunde,CD5402ZS05,pcode,2026-05-19,cases,recovered,cumulative,0,count,,,,,,,,,
COD,3,Nyakunde,CD5402ZS05,pcode,2026-05-19,cases,suspected,cumulative,19,count,,,,,,,,,
COD,3,Nyakunde,CD5402ZS05,pcode,2026-05-19,contacts,contacts,cumulative,133,count,,,,,,,,,
COD,3,Nyakunde,CD5402ZS05,pcode,2026-05-19,deaths,confirmed,cumulative,0,count,,,,,,,,,
COD,3,Nyakunde,CD5402ZS05,pcode,2026-05-19,deaths,suspected,cumulative,5,count,,,,,,,,,
COD,3,Rwampara,CD5402ZS06,pcode,2026-05-19,cases,confirmed,cumulative,25,count,,,,,,,,,
COD,3,Rwampara,CD5402ZS06,pcode,2026-05-19,cases,recovered,cumulative,0,count,,,,,,,,,
COD,3,Rwampara,CD5402ZS06,pcode,2026-05-19,cases,suspected,cumulative,154,count,,,,,,,,,
COD,3,Rwampara,CD5402ZS06,pcode,2026-05-19,contacts,contacts,cumulative,335,count,,,,,,,,,
COD,3,Rwampara,CD5402ZS06,pcode,2026-05-19,deaths,confirmed,cumulative,0,count,,,,,,,,,
COD,3,Rwampara,CD5402ZS06,pcode,2026-05-19,deaths,suspected,cumulative,43,count,,,,,,,,,
COD,3,Bambu,CD5405ZS01,pcode,2026-05-20,cases,confirmed,cumulative,1,count,,,,,,,,,
COD,3,Bambu,CD5405ZS01,pcode,2026-05-20,cases,recovered,cumulative,0,count,,,,,,,,,
COD,3,Bambu,CD5405ZS01,pcode,2026-05-20,cases,suspected,cumulative,1,count,,,,,,,,,
COD,3,Bambu,CD5405ZS01,pcode,2026-05-20,contacts,contacts,cumulative,128,count,,,,,,,,,
COD,3,Bambu,CD5405ZS01,pcode,2026-05-20,deaths,confirmed,cumulative,0,count,,,,,,,,,
COD,3,Bambu,CD5405ZS01,pcode,2026-05-20,deaths,suspected,cumulative,0,count,,,,,,,,,
COD,3,Bunia,CD5402ZS02,pcode,2026-05-20,cases,confirmed,cumulative,5,count,,,,,,,,,
COD,3,Bunia,CD5402ZS02,pcode,2026-05-20,cases,recovered,cumulative,0,count,,,,,,,,,
COD,3,Bunia,CD5402ZS02,pcode,2026-05-20,cases,suspected,cumulative,35,count,,,,,,,,,
COD,3,Bunia,CD5402ZS02,pcode,2026-05-20,contacts,contacts,cumulative,0,count,,,,,,,,,
COD,3,Bunia,CD5402ZS02,pcode,2026-05-20,deaths,confirmed,cumulative,0,count,,,,,,,,,
COD,3,Bunia,CD5402ZS02,pcode,2026-05-20,deaths,suspected,cumulative,8,count,,,,,,,,,
COD,3,Katwa,CD6110ZS02,pcode,2026-05-20,cases,confirmed,cumulative,1,count,,,,,,,,,
COD,3,Katwa,CD6110ZS02,pcode,2026-05-20,cases,recovered,cumulative,0,count,,,,,,,,,
COD,3,Katwa,CD6110ZS02,pcode,2026-05-20,deaths,confirmed,cumulative,0,count,,,,,,,,,
COD,3,Katwa,CD6110ZS02,pcode,2026-05-20,deaths,suspected,cumulative,0,count,,,,,,,,,
COD,3,Mongbalu,CD5405ZS10,pcode,2026-05-20,cases,confirmed,cumulative,0,count,,,,,,,,,
COD,3,Mongbalu,CD5405ZS10,pcode,2026-05-20,cases,recovered,cumulative,0,count,,,,,,,,,
COD,3,Mongbalu,CD5405ZS10,pcode,2026-05-20,cases,suspected,cumulative,8,count,,,,,,,,,
COD,3,Mongbalu,CD5405ZS10,pcode,2026-05-20,contacts,contacts,cumulative,0,count,,,,,,,,,
COD,3,Mongbalu,CD5405ZS10,pcode,2026-05-20,deaths,confirmed,cumulative,0,count,,,,,,,,,
COD,3,Mongbalu,CD5405ZS10,pcode,2026-05-20,deaths,suspected,cumulative,3,count,,,,,,,,,
COD,3,Nyakunde,CD5402ZS05,pcode,2026-05-20,cases,confirmed,cumulative,3,count,,,,,,,,,
COD,3,Nyakunde,CD5402ZS05,pcode,2026-05-20,cases,recovered,cumulative,0,count,,,,,,,,,
COD,3,Nyakunde,CD5402ZS05,pcode,2026-05-20,cases,suspected,cumulative,9,count,,,,,,,,,
COD,3,Nyakunde,CD5402ZS05,pcode,2026-05-20,contacts,contacts,cumulative,0,count,,,,,,,,,
COD,3,Nyakunde,CD5402ZS05,pcode,2026-05-20,deaths,confirmed,cumulative,0,count,,,,,,,,,
COD,3,Nyakunde,CD5402ZS05,pcode,2026-05-20,deaths,suspected,cumulative,0,count,,,,,,,,,
COD,3,Rwampara,CD5402ZS06,pcode,2026-05-20,cases,confirmed,cumulative,3,count,,,,,,,,,
COD,3,Rwampara,CD5402ZS06,pcode,2026-05-20,cases,recovered,cumulative,0,count,,,,,,,,,
COD,3,Rwampara,CD5402ZS06,pcode,2026-05-20,cases,suspected,cumulative,25,count,,,,,,,,,
COD,3,Rwampara,CD5402ZS06,pcode,2026-05-20,contacts,contacts,cumulative,286,count,,,,,,,,,
COD,3,Rwampara,CD5402ZS06,pcode,2026-05-20,deaths,confirmed,cumulative,0,count,,,,,,,,,
COD,3,Rwampara,CD5402ZS06,pcode,2026-05-20,deaths,suspected,cumulative,1,count,,,,,,,,,
COD,3,Aru,CD5409ZS04,pcode,2026-05-24,cases,confirmed,cumulative,1,count,,,,,,,,,
COD,3,Aru,CD5409ZS04,pcode,2026-05-24,cases,probable,cumulative,0,count,,,,,,,,,
COD,3,Aru,CD5409ZS04,pcode,2026-05-24,cases,recovered,cumulative,0,count,,,,,,,,,
COD,3,Aru,CD5409ZS04,pcode,2026-05-24,cases,suspected,cumulative,4,count,,,,,,,,,
COD,3,Aru,CD5409ZS04,pcode,2026-05-24,contacts,contacts,cumulative,0,count,,,,,,,,,
COD,3,Aru,CD5409ZS04,pcode,2026-05-24,deaths,confirmed,cumulative,0,count,,,,,,,,,
COD,3,Aru,CD5409ZS04,pcode,2026-05-24,deaths,suspected,cumulative,1,count,,,,,,,,,
COD,3,Bambu,CD5405ZS01,pcode,2026-05-24,cases,confirmed,cumulative,0,count,,,,,,,,,
COD,3,Bambu,CD5405ZS01,pcode,2026-05-24,cases,recovered,cumulative,0,count,,,,,,,,,
COD,3,Bambu,CD5405ZS01,pcode,2026-05-24,cases,suspected,cumulative,6,count,,,,,,,,,
COD,3,Bambu,CD5405ZS01,pcode,2026-05-24,contacts,contacts,cumulative,183,count,,,,,,,,,
COD,3,Bambu,CD5405ZS01,pcode,2026-05-24,deaths,suspected,cumulative,2,count,,,,,,,,,
COD,3,Bunia,CD5402ZS02,pcode,2026-05-24,cases,confirmed,cumulative,24,count,,,,,,,,,
COD,3,Bunia,CD5402ZS02,pcode,2026-05-24,cases,recovered,cumulative,0,count,,,,,,,,,
COD,3,Bunia,CD5402ZS02,pcode,2026-05-24,cases,suspected,cumulative,249,count,,,,,,,,,
COD,3,Bunia,CD5402ZS02,pcode,2026-05-24,contacts,contacts,cumulative,404,count,,,,,,,,,
COD,3,Bunia,CD5402ZS02,pcode,2026-05-24,deaths,suspected,cumulative,48,count,,,,,,,,,
COD,3,Butembo,CD6110ZS01,pcode,2026-05-24,cases,confirmed,cumulative,3,count,,,,,,,,,
COD,3,Butembo,CD6110ZS01,pcode,2026-05-24,cases,recovered,cumulative,0,count,,,,,,,,,
COD,3,Butembo,CD6110ZS01,pcode,2026-05-24,cases,suspected,cumulative,7,count,,,,,,,,,
COD,3,Butembo,CD6110ZS01,pcode,2026-05-24,contacts,contacts,cumulative,22,count,,,,,,,,,
COD,3,Butembo,CD6110ZS01,pcode,2026-05-24,deaths,suspected,cumulative,0,count,,,,,,,,,
COD,3,Goma,CD6101ZS01,pcode,2026-05-24,cases,confirmed,cumulative,1,count,,,,,,,,,
COD,3,Goma,CD6101ZS01,pcode,2026-05-24,cases,recovered,cumulative,0,count,,,,,,,,,
COD,3,Goma,CD6101ZS01,pcode,2026-05-24,cases,suspected,cumulative,0,count,,,,,,,,,
COD,3,Goma,CD6101ZS01,pcode,2026-05-24,contacts,contacts,cumulative,28,count,,,,,,,,,
COD,3,Goma,CD6101ZS01,pcode,2026-05-24,deaths,suspected,cumulative,0,count,,,,,,,,,
COD,3,Kalunguta,CD6107ZS01,pcode,2026-05-24,cases,confirmed,cumulative,1,count,,,,,,,,,
COD,3,Kalunguta,CD6107ZS01,pcode,2026-05-24,cases,suspected,cumulative,0,count,,,,,,,,,
COD,3,Kalunguta,CD6107ZS01,pcode,2026-05-24,contacts,contacts,cumulative,0,count,,,,,,,,,
COD,3,Kalunguta,CD6107ZS01,pcode,2026-05-24,deaths,suspected,cumulative,0,count,,,,,,,,,
COD,3,Karisimbi,CD6101ZS02,pcode,2026-05-24,cases,confirmed,cumulative,0,count,,,,,,,,,
COD,3,Karisimbi,CD6101ZS02,pcode,2026-05-24,cases,suspected,cumulative,0,count,,,,,,,,,
COD,3,Karisimbi,CD6101ZS02,pcode,2026-05-24,contacts,contacts,cumulative,249,count,,,,,,,,,
COD,3,Karisimbi,CD6101ZS02,pcode,2026-05-24,deaths,confirmed,cumulative,0,count,,,,,,,,,
COD,3,Karisimbi,CD6101ZS02,pcode,2026-05-24,deaths,suspected,cumulative,0,count,,,,,,,,,
COD,3,Katwa,CD6110ZS02,pcode,2026-05-24,cases,confirmed,cumulative,4,count,,,,,,,,,
COD,3,Katwa,CD6110ZS02,pcode,2026-05-24,cases,recovered,cumulative,0,count,,,,,,,,,
COD,3,Katwa,CD6110ZS02,pcode,2026-05-24,cases,suspected,cumulative,13,count,,,,,,,,,
COD,3,Katwa,CD6110ZS02,pcode,2026-05-24,contacts,contacts,cumulative,99,count,,,,,,,,,
COD,3,Katwa,CD6110ZS02,pcode,2026-05-24,deaths,suspected,cumulative,0,count,,,,,,,,,
COD,3,Kilo,CD5405ZS06,pcode,2026-05-24,cases,confirmed,cumulative,1,count,,,,,,,,,
COD,3,Kilo,CD5405ZS06,pcode,2026-05-24,cases,suspected,cumulative,8,count,,,,,,,,,
COD,3,Kilo,CD5405ZS06,pcode,2026-05-24,contacts,contacts,cumulative,0,count,,,,,,,,,
COD,3,Kilo,CD5405ZS06,pcode,2026-05-24,deaths,confirmed,cumulative,0,count,,,,,,,,,
COD,3,Kilo,CD5405ZS06,pcode,2026-05-24,deaths,suspected,cumulative,2,count,,,,,,,,,
COD,3,Kyondo,CD6107ZS03,pcode,2026-05-24,cases,confirmed,cumulative,0,count,,,,,,,,,
COD,3,Kyondo,CD6107ZS03,pcode,2026-05-24,cases,suspected,cumulative,0,count,,,,,,,,,
COD,3,Kyondo,CD6107ZS03,pcode,2026-05-24,contacts,contacts,cumulative,16,count,,,,,,,,,
COD,3,Kyondo,CD6107ZS03,pcode,2026-05-24,deaths,confirmed,cumulative,0,count,,,,,,,,,
COD,3,Kyondo,CD6107ZS03,pcode,2026-05-24,deaths,suspected,cumulative,0,count,,,,,,,,,
COD,3,Miti-Murhesa,CD6202ZS04,pcode,2026-05-24,cases,confirmed,cumulative,1,count,,,,,,,,,
COD,3,Miti-Murhesa,CD6202ZS04,pcode,2026-05-24,cases,suspected,cumulative,1,count,,,,,,,,,
COD,3,Miti-Murhesa,CD6202ZS04,pcode,2026-05-24,deaths,suspected,cumulative,0,count,,,,,,,,,
COD,3,Mongbalu,CD5405ZS10,pcode,2026-05-24,cases,confirmed,cumulative,19,count,,,,,,,,,
COD,3,Mongbalu,CD5405ZS10,pcode,2026-05-24,cases,recovered,cumulative,0,count,,,,,,,,,
COD,3,Mongbalu,CD5405ZS10,pcode,2026-05-24,cases,suspected,cumulative,339,count,,,,,,,,,
COD,3,Mongbalu,CD5405ZS10,pcode,2026-05-24,contacts,contacts,cumulative,222,count,,,,,,,,,
COD,3,Mongbalu,CD5405ZS10,pcode,2026-05-24,deaths,suspected,cumulative,88,count,,,,,,,,,
COD,3,Nizi,CD5405ZS11,pcode,2026-05-24,cases,confirmed,cumulative,2,count,,,,,,,,,
COD,3,Nizi,CD5405ZS11,pcode,2026-05-24,cases,suspected,cumulative,6,count,,,,,,,,,
COD,3,Nizi,CD5405ZS11,pcode,2026-05-24,contacts,contacts,cumulative,22,count,,,,,,,,,
COD,3,Nizi,CD5405ZS11,pcode,2026-05-24,deaths,confirmed,cumulative,0,count,,,,,,,,,
COD,3,Nizi,CD5405ZS11,pcode,2026-05-24,deaths,suspected,cumulative,2,count,,,,,,,,,
COD,3,Nyakunde,CD5402ZS05,pcode,2026-05-24,cases,confirmed,cumulative,9,count,,,,,,,,,
COD,3,Nyakunde,CD5402ZS05,pcode,2026-05-24,cases,recovered,cumulative,0,count,,,,,,,,,
COD,3,Nyakunde,CD5402ZS05,pcode,2026-05-24,cases,suspected,cumulative,45,count,,,,,,,,,
COD,3,Nyakunde,CD5402ZS05,pcode,2026-05-24,contacts,contacts,cumulative,365,count,,,,,,,,,
COD,3,Nyakunde,CD5402ZS05,pcode,2026-05-24,deaths,suspected,cumulative,11,count,,,,,,,,,
COD,3,Oicha,CD6107ZS06,pcode,2026-05-24,cases,confirmed,cumulative,1,count,,,,,,,,,
COD,3,Rwampara,CD5402ZS06,pcode,2026-05-24,cases,confirmed,cumulative,32,count,,,,,,,,,
COD,3,Rwampara,CD5402ZS06,pcode,2026-05-24,cases,recovered,cumulative,0,count,,,,,,,,,
COD,3,Rwampara,CD5402ZS06,pcode,2026-05-24,cases,suspected,cumulative,228,count,,,,,,,,,
COD,3,Rwampara,CD5402ZS06,pcode,2026-05-24,contacts,contacts,cumulative,621,count,,,,,,,,,
COD,3,Rwampara,CD5402ZS06,pcode,2026-05-24,deaths,suspected,cumulative,69,count,,,,,,,,,
COD,3,Aru,CD5409ZS04,pcode,2026-05-25,cases,confirmed,cumulative,1,count,,,,,,,,,
COD,3,Aru,CD5409ZS04,pcode,2026-05-25,cases,probable,cumulative,0,count,,,,,,,,,
COD,3,Aru,CD5409ZS04,pcode,2026-05-25,cases,recovered,cumulative,0,count,,,,,,,,,
COD,3,Aru,CD5409ZS04,pcode,2026-05-25,cases,suspected,cumulative,4,count,,,,,,,,,
COD,3,Aru,CD5409ZS04,pcode,2026-05-25,contacts,contacts,cumulative,0,count,,,,,,,,,
COD,3,Aru,CD5409ZS04,pcode,2026-05-25,deaths,confirmed,cumulative,0,count,,,,,,,,,
COD,3,Aru,CD5409ZS04,pcode,2026-05-25,deaths,suspected,cumulative,1,count,,,,,,,,,
COD,3,Bambu,CD5405ZS01,pcode,2026-05-25,cases,confirmed,cumulative,0,count,,,,,,,,,
COD,3,Bambu,CD5405ZS01,pcode,2026-05-25,cases,recovered,cumulative,0,count,,,,,,,,,
COD,3,Bambu,CD5405ZS01,pcode,2026-05-25,cases,suspected,cumulative,6,count,,,,,,,,,
COD,3,Bambu,CD5405ZS01,pcode,2026-05-25,contacts,contacts,cumulative,183,count,,,,,,,,,
COD,3,Bambu,CD5405ZS01,pcode,2026-05-25,deaths,suspected,cumulative,2,count,,,,,,,,,
COD,3,Bunia,CD5402ZS02,pcode,2026-05-25,cases,confirmed,cumulative,24,count,,,,,,,,,
COD,3,Bunia,CD5402ZS02,pcode,2026-05-25,cases,recovered,cumulative,0,count,,,,,,,,,
COD,3,Bunia,CD5402ZS02,pcode,2026-05-25,cases,suspected,cumulative,270,count,,,,,,,,,
COD,3,Bunia,CD5402ZS02,pcode,2026-05-25,contacts,contacts,cumulative,404,count,,,,,,,,,
COD,3,Bunia,CD5402ZS02,pcode,2026-05-25,deaths,suspected,cumulative,55,count,,,,,,,,,
COD,3,Butembo,CD6110ZS01,pcode,2026-05-25,cases,confirmed,cumulative,3,count,,,,,,,,,
COD,3,Butembo,CD6110ZS01,pcode,2026-05-25,cases,recovered,cumulative,0,count,,,,,,,,,
COD,3,Butembo,CD6110ZS01,pcode,2026-05-25,cases,suspected,cumulative,7,count,,,,,,,,,
COD,3,Butembo,CD6110ZS01,pcode,2026-05-25,contacts,contacts,cumulative,22,count,,,,,,,,,
COD,3,Butembo,CD6110ZS01,pcode,2026-05-25,deaths,suspected,cumulative,0,count,,,,,,,,,
COD,3,Karisimbi,CD6101ZS02,pcode,2026-05-25,cases,confirmed,cumulative,0,count,,,,,,,,,
COD,3,Karisimbi,CD6101ZS02,pcode,2026-05-25,contacts,contacts,cumulative,249,count,,,,,,,,,
COD,3,Karisimbi,CD6101ZS02,pcode,2026-05-25,deaths,confirmed,cumulative,0,count,,,,,,,,,
COD,3,Karisimbi,CD6101ZS02,pcode,2026-05-25,deaths,suspected,cumulative,0,count,,,,,,,,,
COD,3,Katwa,CD6110ZS02,pcode,2026-05-25,cases,confirmed,cumulative,4,count,,,,,,,,,
COD,3,Katwa,CD6110ZS02,pcode,2026-05-25,cases,recovered,cumulative,0,count,,,,,,,,,
